service_id,date,exception_type
A621@3,20251012,2
A67@3,20251012,2
A87@3,20251012,2
B02@3,20251012,2
B021@3,20251012,2
B511@3,20251012,2
B56@3,20251012,2
E30@3,20251012,2
E33@3,20251012,2
F04@3,20251012,2
G343@3,20251012,2
M10@3,20251012,2
M31@3,20251012,2
R4@3,20251012,2
T10@3,20251012,2
T23@3,20251012,2
T61@3,20251012,2
T61A@3,20251012,2
A05@3,20251012,2
6333@3,20251012,2
4944@3,20251012,2
3462@3,20251012,2
A288@3,20251012,2
TR32@3,20251012,2
4924@3,20251012,2
2573@3,20251012,2
4382@3,20251012,2
1493@3,20251012,2
6372@3,20251012,2
A21@3,20251012,2
SD73@3,20251012,2
4906@3,20251012,2
GT31@3,20251012,2
6102@3,20251012,2
C22@3,20251012,2
3953@3,20251012,2
2576@3,20251012,2
A48@3,20251012,2
4411@3,20251012,2
A20@3,20251012,2
7042@3,20251012,2
25611@3,20251012,2
25613@3,20251012,2
A932@3,20251012,2
E703@3,20251012,2
1106@3,20251012,2
10.63@3,20251012,2
20.2@3,20251102,2
50.1@3,20251102,2
50.2@3,20251102,2
50.6@3,20251102,2
60.5@3,20251102,2
179@3,20251102,2
211@3,20251102,2
212@3,20251102,2
214@3,20251102,2
216@3,20251102,2
250@3,20251102,2
2531@3,20251102,2
2542@3,20251102,2
256@3,20251102,2
2601@3,20251102,2
2602@3,20251102,2
2661@3,20251102,2
2674@3,20251102,2
270@3,20251102,2
272@3,20251102,2
2741@3,20251102,2
2801@3,20251102,2
2843@3,20251102,2
286@3,20251102,2
3442@3,20251102,2
345@3,20251102,2
3481@3,20251102,2
3944@3,20251102,2
3945@3,20251102,2
3972@3,20251102,2
3974@3,20251102,2
3983@3,20251102,2
3987@3,20251102,2
4291@3,20251102,2
4381@3,20251102,2
439@3,20251102,2
441@3,20251102,2
476@3,20251102,2
495@3,20251102,2
4952@3,20251102,2
520@3,20251102,2
620@3,20251102,2
627@3,20251102,2
632@3,20251102,2
6371@3,20251102,2
659@3,20251102,2
661@3,20251102,2
6625@3,20251102,2
6712@3,20251102,2
702@3,20251102,2
704@3,20251102,2
761@3,20251102,2
855@3,20251102,2
A09@3,20251102,2
A62@3,20251102,2
A621@3,20251102,2
A67@3,20251102,2
A87@3,20251102,2
B02@3,20251102,2
B021@3,20251102,2
B511@3,20251102,2
B56@3,20251102,2
E30@3,20251102,2
E33@3,20251102,2
F04@3,20251102,2
G343@3,20251102,2
M10@3,20251102,2
M31@3,20251102,2
R4@3,20251102,2
T10@3,20251102,2
T23@3,20251102,2
T61@3,20251102,2
T61A@3,20251102,2
A05@3,20251102,2
6333@3,20251102,2
4944@3,20251102,2
3462@3,20251102,2
A288@3,20251102,2
TR32@3,20251102,2
4924@3,20251102,2
2573@3,20251102,2
4382@3,20251102,2
1493@3,20251102,2
6372@3,20251102,2
A21@3,20251102,2
SD73@3,20251102,2
4906@3,20251102,2
GT31@3,20251102,2
6102@3,20251102,2
C22@3,20251102,2
3953@3,20251102,2
2576@3,20251102,2
A48@3,20251102,2
4411@3,20251102,2
A20@3,20251102,2
7042@3,20251102,2
25611@3,20251102,2
25613@3,20251102,2
A932@3,20251102,2
E703@3,20251102,2
1106@3,20251102,2
10.63@3,20251102,2
10.3@2,20251115,2
10.5@2,20251115,2
20.4@2,20251115,2
T9@2,20250920,2
6333@2,20250920,2
1795@2,20250920,2
7151@2,20250920,2
2572@2,20250920,2
1493@2,20250920,2
6372@2,20250920,2
SD73@2,20250920,2
10.61@2,20250920,2
5203@2,20250920,2
GT31@2,20250920,2
A63@2,20250920,2
T44@2,20250920,2
7042@2,20250920,2
25611@2,20250920,2
A932@2,20250920,2
GT21@2,20250920,2
60.52@2,20250920,2
2726@2,20250920,2
EM013@2,20250920,2
30.2@3,20251012,2
50.31@3,20251012,2
1111@3,20251012,2
1714@3,20251012,2
1792@3,20251012,2
244@3,20251012,2
251@3,20251012,2
2562@3,20251012,2
267@3,20251012,2
2675@3,20251012,2
2723@3,20251012,2
2733@3,20251012,2
283@3,20251012,2
2832@3,20251012,2
344@3,20251012,2
361@3,20251012,2
3942@3,20251012,2
397@3,20251012,2
429@3,20251012,2
4292@3,20251012,2
436@3,20251012,2
4942@3,20251012,2
4971@3,20251012,2
4972@3,20251012,2
T13@3,20251012,2
525@3,20251012,2
605@3,20251012,2
615@3,20251012,2
617@3,20251012,2
652@3,20251012,2
653@3,20251012,2
6562@3,20251012,2
665@3,20251012,2
7041@3,20251012,2
756@3,20251012,2
7612@3,20251012,2
815@3,20251012,2
A143@3,20251012,2
A16@3,20251012,2
A28@3,20251012,2
A33@3,20251012,2
A360@3,20251012,2
A53@3,20251012,2
A60@3,20251012,2
A671@3,20251012,2
A691@3,20251012,2
A81@3,20251012,2
A841@3,20251012,2
A86@3,20251012,2
A971@3,20251012,2
B022@3,20251012,2
B09@3,20251012,2
B252@3,20251012,2
B51@3,20251012,2
C3@3,20251012,2
C31@3,20251012,2
D13@3,20251012,2
D67@3,20251012,2
E32@3,20251012,2
R10@3,20251012,2
R5@3,20251012,2
R67@3,20251012,2
R81@3,20251012,2
T22@3,20251012,2
T2A@3,20251012,2
T2A1@3,20251012,2
T4@3,20251012,2
T51@3,20251012,2
TR62@3,20251012,2
E101@3,20251012,2
6135@3,20251012,2
3947@3,20251012,2
A27@3,20251012,2
SD72@3,20251012,2
A25@3,20251012,2
4961@3,20251012,2
6276@3,20251012,2
7053@3,20251012,2
O398@3,20251012,2
3443@3,20251012,2
T44@3,20251012,2
A270@3,20251012,2
A931@3,20251012,2
49231@3,20251012,2
49232@3,20251012,2
GT21@3,20251012,2
30.2@3,20251102,2
50.31@3,20251102,2
1111@3,20251102,2
1714@3,20251102,2
1792@3,20251102,2
244@3,20251102,2
251@3,20251102,2
2562@3,20251102,2
267@3,20251102,2
2675@3,20251102,2
2723@3,20251102,2
2733@3,20251102,2
283@3,20251102,2
2832@3,20251102,2
344@3,20251102,2
361@3,20251102,2
3942@3,20251102,2
397@3,20251102,2
429@3,20251102,2
4292@3,20251102,2
436@3,20251102,2
4942@3,20251102,2
4971@3,20251102,2
4972@3,20251102,2
T13@3,20251102,2
525@3,20251102,2
605@3,20251102,2
615@3,20251102,2
617@3,20251102,2
652@3,20251102,2
653@3,20251102,2
6562@3,20251102,2
665@3,20251102,2
7041@3,20251102,2
756@3,20251102,2
7612@3,20251102,2
815@3,20251102,2
A143@3,20251102,2
A16@3,20251102,2
A28@3,20251102,2
A33@3,20251102,2
A360@3,20251102,2
A53@3,20251102,2
A60@3,20251102,2
A671@3,20251102,2
A691@3,20251102,2
A81@3,20251102,2
A841@3,20251102,2
A86@3,20251102,2
A971@3,20251102,2
B022@3,20251102,2
B09@3,20251102,2
B252@3,20251102,2
B51@3,20251102,2
C3@3,20251102,2
C31@3,20251102,2
D13@3,20251102,2
D67@3,20251102,2
E32@3,20251102,2
R10@3,20251102,2
R5@3,20251102,2
R67@3,20251102,2
R81@3,20251102,2
T22@3,20251102,2
T2A@3,20251102,2
T2A1@3,20251102,2
T4@3,20251102,2
T51@3,20251102,2
TR62@3,20251102,2
E101@3,20251102,2
6135@3,20251102,2
3947@3,20251102,2
A27@3,20251102,2
SD72@3,20251102,2
A25@3,20251102,2
4961@3,20251102,2
6276@3,20251102,2
7053@3,20251102,2
O398@3,20251102,2
3443@3,20251102,2
T44@3,20251102,2
A270@3,20251102,2
A931@3,20251102,2
49231@3,20251102,2
49232@3,20251102,2
GT21@3,20251102,2
10.4@2,20251115,2
20.2@2,20251115,2
30.2@2,20251115,2
40.4@2,20251115,2
02.11@2,20251115,2
1111@2,20251115,2
176@2,20251115,2
1792@2,20251115,2
244@2,20251115,2
2633@2,20251115,2
2671@2,20251115,2
268@2,20251115,2
2681@2,20251115,2
270@2,20251115,2
2721@2,20251115,2
2725@2,20251115,2
274@2,20251115,2
2741@2,20251115,2
280@2,20251115,2
2801@2,20251115,2
2802@2,20251115,2
282@2,20251115,2
3442@2,20251115,2
346@2,20251115,2
3481@2,20251115,2
353@2,20251115,2
3762@2,20251115,2
395@2,20251115,2
397@2,20251115,2
398@2,20251115,2
429@2,20251115,2
4292@2,20251115,2
4381@2,20251115,2
50.1@2,20251115,2
50.6@2,20251115,2
60.5@2,20251115,2
10.6@2,20251115,2
168@2,20251115,2
171@2,20251115,2
1713@2,20251115,2
173@2,20251115,2
1841@2,20251115,2
251@2,20251115,2
2561@2,20251115,2
263@2,20251115,2
2631@2,20251115,2
264@2,20251115,2
2661@2,20251115,2
267@2,20251115,2
2675@2,20251115,2
2701@2,20251115,2
271@2,20251115,2
272@2,20251115,2
273@2,20251115,2
2731@2,20251115,2
2813@2,20251115,2
2814@2,20251115,2
2815@2,20251115,2
283@2,20251115,2
284@2,20251115,2
289@2,20251115,2
T12@2,20251115,2
3941@2,20251115,2
3943@2,20251115,2
3974@2,20251115,2
3981@2,20251115,2
3987@2,20251115,2
4291@2,20251115,2
433@2,20251115,2
436@2,20251115,2
439@2,20251115,2
494@2,20251115,2
T13@2,20251115,2
610@2,20251115,2
620@2,20251115,2
6371@2,20251115,2
6611@2,20251115,2
6612@2,20251115,2
6712@2,20251115,2
701@2,20251115,2
704@2,20251115,2
718@2,20251115,2
7612@2,20251115,2
815@2,20251115,2
A01@2,20251115,2
A28@2,20251115,2
A53@2,20251115,2
A621@2,20251115,2
A67@2,20251115,2
A841@2,20251115,2
A87@2,20251115,2
B091@2,20251115,2
B51@2,20251115,2
B55@2,20251115,2
B56@2,20251115,2
C3@2,20251115,2
D72@2,20251115,2
M31@2,20251115,2
M52@2,20251115,2
M98@2,20251115,2
R31@2,20251115,2
R5@2,20251115,2
R68@2,20251115,2
T1@2,20251115,2
T10@2,20251115,2
T22@2,20251115,2
T2A@2,20251115,2
T4@2,20251115,2
7052@2,20251115,2
6135@2,20251115,2
4923@2,20251115,2
A265@2,20251115,2
3752@2,20251115,2
3763@2,20251115,2
4321@2,20251115,2
4382@2,20251115,2
A27@2,20251115,2
SD72@2,20251115,2
4906@2,20251115,2
6102@2,20251115,2
O627@2,20251115,2
O662@2,20251115,2
A955@2,20251115,2
3953@2,20251115,2
2576@2,20251115,2
25612@2,20251115,2
A931@2,20251115,2
43311@2,20251115,2
49231@2,20251115,2
49232@2,20251115,2
4953@2,20251115,2
EM011@2,20251115,2
10.63@2,20251115,2
10.4@1,20251120,2
60.4@1,20251120,2
60.5@1,20251120,2
10.7@1,20251120,2
173@1,20251120,2
210@1,20251120,2
211@1,20251120,2
214@1,20251120,2
2141@1,20251120,2
2441@1,20251120,2
254@1,20251120,2
2542@1,20251120,2
255@1,20251120,2
2561@1,20251120,2
2633@1,20251120,2
2672@1,20251120,2
269@1,20251120,2
272@1,20251120,2
2725@1,20251120,2
2733@1,20251120,2
274@1,20251120,2
2741@1,20251120,2
283@1,20251120,2
284@1,20251120,2
286@1,20251120,2
344@1,20251120,2
3442@1,20251120,2
347@1,20251120,2
361@1,20251120,2
3973@1,20251120,2
3974@1,20251120,2
429@1,20251120,2
436@1,20251120,2
4911@1,20251120,2
4952@1,20251120,2
525@1,20251120,2
614@1,20251120,2
620@1,20251120,2
6331@1,20251120,2
650@1,20251120,2
653@1,20251120,2
661@1,20251120,2
6611@1,20251120,2
6625@1,20251120,2
701@1,20251120,2
704@1,20251120,2
7311@1,20251120,2
