route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,route_url,route_color,route_text_color
272,EPTC,272,Moradas Da Hipica,,3,https://linhas.eptc.com.br,FF0000,000000
273,EPTC,273,Belem Novo/Hipica,,3,https://linhas.eptc.com.br,FF0000,000000
2731,EPTC,2731,Belem Novo/Hipica(Via Schneider),,3,https://linhas.eptc.com.br,FF0000,000000
274,EPTC,274,Gloria/Azenha/Cascatinha,,3,https://linhas.eptc.com.br,FF0000,000000
2813,EPTC,2813,Campo Novo/Morro Agudo/Domingos,,3,https://linhas.eptc.com.br,FF0000,000000
2814,EPTC,2814,Campo Novo/Domingos,,3,https://linhas.eptc.com.br,FF0000,000000
2821,EPTC,2821,Pereira Passos,,3,https://linhas.eptc.com.br,FF0000,000000
2843,EPTC,2843,B. Velho(S.franciso)/Rincao/Betao Ate Azenha,,3,https://linhas.eptc.com.br,FF0000,000000
T12,EPTC,T12,Restinga/Cairú,,3,https://linhas.eptc.com.br,CC7722,000000
341,EPTC,341,Bento/Terminal Antônio De Carvalho,,3,https://linhas.eptc.com.br,008000,000000
347,EPTC,347,Alameda,,3,https://linhas.eptc.com.br,008000,000000
3943,EPTC,3943,Mapa / Via Ipiranga,,3,https://linhas.eptc.com.br,008000,000000
3972,EPTC,3972,Bonsucesso / Ate Terminal Azenha,,3,https://linhas.eptc.com.br,008000,000000
3986,EPTC,3986,Viçosa(Pinheiro),,3,https://linhas.eptc.com.br,008000,000000
4292,EPTC,4292,Protasio/Iguatemi/Dez De Maio,,3,https://linhas.eptc.com.br,008000,000000
491,EPTC,491,Passo Dorneles / Vila Safira,,3,https://linhas.eptc.com.br,008000,000000
4971,EPTC,4971,Mario Quintana/Safira,,3,https://linhas.eptc.com.br,008000,000000
520,EPTC,520,Triangulo/24 De Outubro,,3,https://linhas.eptc.com.br,0000FF,000000
T13,EPTC,T13,Triângulo/Puc,,3,https://linhas.eptc.com.br,CC7722,000000
605,EPTC,605,Jardim Sao Pedro,,3,https://linhas.eptc.com.br,0000FF,000000
611,EPTC,611,Lindoia,,3,https://linhas.eptc.com.br,0000FF,000000
624,EPTC,624,Sao Borja,,3,https://linhas.eptc.com.br,0000FF,000000
650,EPTC,650,Av.do Forte/Itu Coinma,,3,https://linhas.eptc.com.br,0000FF,000000
662,EPTC,662,Rubem Berta,,3,https://linhas.eptc.com.br,0000FF,000000
6712,EPTC,6712,Carlos Gomes/Salso - Dom/Fer,,3,https://linhas.eptc.com.br,008000,000000
704,EPTC,704,Humaita,,3,https://linhas.eptc.com.br,0000FF,000000
727,EPTC,727,Agostinho/Sertorio,,3,https://linhas.eptc.com.br,0000FF,000000
756,EPTC,756,Passo Das Pedras / Sertorio,,3,https://linhas.eptc.com.br,0000FF,000000
761,EPTC,761,Leopoldina/Sertorio,,3,https://linhas.eptc.com.br,0000FF,000000
7612,EPTC,7612,Leopoldina/Sertorio/Noite,,3,https://linhas.eptc.com.br,0000FF,000000
762,EPTC,762,Rubem Berta (Sertorio),,3,https://linhas.eptc.com.br,0000FF,000000
815,EPTC,815,Sarandi / Cairu,,3,https://linhas.eptc.com.br,0000FF,000000
A141,EPTC,A141,Alimentadora Restinga/Lomba/5unidade,,3,https://linhas.eptc.com.br,FF0000,000000
A16,EPTC,A16,Alim. Dorival C. Machado/Parque Lavoura /Rotula Serraria,,3,https://linhas.eptc.com.br,FF0000,000000
